test_id,run_id,scenario,expected_elements,target_fp_rate,actual_size,hash_count,items_added,fill_ratio,estimated_fp_rate,measured_fp_rate,time_ms
0,0,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.073000
1,1,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.083000
2,2,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.070000
3,3,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.055000
4,4,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.048000
5,5,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.045000
6,6,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.044000
7,7,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.044000
8,8,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.044000
9,9,small_low_fp,100,0.010000,959,7,100,0.534932,0.010015,0.014000,0.043000
10,0,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.063000
11,1,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.051000
12,2,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.044000
13,3,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.042000
14,4,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.041000
15,5,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.042000
16,6,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.060000
17,7,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.050000
18,8,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.041000
19,9,small_high_fp,100,0.050000,624,4,98,0.458333,0.047340,0.047000,0.035000
20,0,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.272000
21,1,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.252000
22,2,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.239000
23,3,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.237000
24,4,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.236000
25,5,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.231000
26,6,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.230000
27,7,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.229000
28,8,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.230000
29,9,medium_low_fp,500,0.010000,4793,7,499,0.515335,0.009939,0.009600,0.228000
30,0,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.246000
31,1,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.240000
32,2,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.224000
33,3,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.219000
34,4,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.218000
35,5,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.213000
36,6,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.210000
37,7,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.209000
38,8,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.206000
39,9,medium_high_fp,500,0.050000,3118,4,492,0.465683,0.047985,0.051000,0.207000
40,0,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.553000
41,1,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.506000
42,2,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.467000
43,3,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.432000
44,4,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.406000
45,5,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.403000
46,6,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.362000
47,7,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.361000
48,8,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.354000
49,9,large_low_fp,1000,0.010000,9586,7,998,0.520134,0.009939,0.009700,0.330000
